,Station,Date,PM 2.5
280,Dijon,2022-10-10,24
281,Dijon,2022-10-11,33
282,Dijon,2022-10-12,37
283,Dijon,2022-10-13,45
284,Dijon,2022-10-14,36
285,Dijon,2022-10-16,9
286,Dijon,2022-10-16,9
287,Dijon,2022-10-17,18
288,Dijon,2022-10-18,23
289,Dijon,2022-10-19,23
290,Dijon,2022-10-21,38
291,Dijon,2022-10-21,38
292,Dijon,2022-10-22,28
293,Dijon,2022-10-25,17
294,Dijon,2022-10-25,17
295,Dijon,2022-10-26,17
296,Dijon,2022-10-28,32
297,Dijon,2022-10-28,32
298,Dijon,2022-10-29,49
299,Dijon,2022-10-30,48
300,Dijon,2022-10-31,42
301,Dijon,2022-11-01,42
302,Dijon,2022-11-02,17
303,Dijon,2022-11-03,22
304,Dijon,2022-11-05,13
305,Dijon,2022-11-05,13
306,Dijon,2022-11-07,29
307,Dijon,2022-11-08,19
308,Dijon,2022-11-08,19
309,Dijon,2022-11-09,25
310,Dijon,2022-11-10,23
311,Dijon,2022-11-11,26
312,Dijon,2022-11-12,28
313,Dijon,2022-11-13,26
314,Dijon,2022-11-14,29
315,Dijon,2022-11-15,28
316,Dijon,2022-11-16,22
317,Dijon,2022-11-17,13
318,Dijon,2022-11-18,13
319,Dijon,2022-11-19,14
320,Dijon,2022-11-20,16
321,Dijon,2022-11-21,18
322,Dijon,2022-11-22,15
323,Dijon,2022-11-23,16
324,Dijon,2022-11-24,31
325,Dijon,2022-11-25,30
326,Dijon,2022-11-26,37
327,Dijon,2022-11-27,20
328,Dijon,2022-11-28,42
329,Dijon,2022-11-29,34
330,Dijon,2022-12-03,63
331,Dijon,2022-12-03,63
332,Dijon,2022-12-04,39
333,Dijon,2022-12-05,52
334,Dijon,2022-12-06,32
335,Dijon,2022-12-08,25
336,Dijon,2022-12-08,25
337,Dijon,2022-12-09,30
338,Dijon,2022-12-10,37
339,Dijon,2022-12-11,37
340,Dijon,2022-12-12,50
341,Dijon,2022-12-13,61
342,Dijon,2022-12-14,51
343,Dijon,2022-12-15,49
344,Dijon,2022-12-17,44
345,Dijon,2022-12-17,44
346,Dijon,2022-12-18,60
347,Dijon,2022-12-19,66
348,Dijon,2022-12-21,16
349,Dijon,2022-12-22,16
350,Dijon,2022-12-22,16
351,Dijon,2022-12-23,28
352,Dijon,2022-12-24,8
353,Dijon,2022-12-25,31
354,Dijon,2022-12-26,33
355,Dijon,2022-12-27,26
356,Dijon,2022-12-28,31
357,Dijon,2022-12-29,45
358,Dijon,2022-12-31,26
