,Station,Date,PM 2.5
257,Paris,2021-09-16,57
258,Paris,2021-09-17,39
259,Paris,2021-09-19,47
260,Paris,2021-09-20,41
261,Paris,2021-09-21,27
262,Paris,2021-09-21,27
263,Paris,2021-09-23,60
264,Paris,2021-09-23,60
265,Paris,2021-09-24,53
266,Paris,2021-09-26,67
267,Paris,2021-09-27,58
268,Paris,2021-09-28,40
269,Paris,2021-09-28,40
270,Paris,2021-09-30,20
271,Paris,2021-10-01,42
272,Paris,2021-10-01,42
273,Paris,2021-10-03,41
274,Paris,2021-10-03,41
275,Paris,2021-10-05,42
276,Paris,2021-10-05,42
277,Paris,2021-10-06,26
278,Paris,2021-10-08,53
279,Paris,2021-10-08,53
280,Paris,2021-10-10,73
281,Paris,2021-10-11,78
282,Paris,2021-10-12,55
283,Paris,2021-10-13,36
284,Paris,2021-10-13,36
285,Paris,2021-10-14,44
286,Paris,2021-10-15,81
287,Paris,2021-10-17,60
288,Paris,2021-10-18,64
289,Paris,2021-10-19,64
290,Paris,2021-10-20,50
291,Paris,2021-10-21,45
292,Paris,2021-10-22,30
293,Paris,2021-10-23,45
294,Paris,2021-10-23,45
295,Paris,2021-10-24,54
296,Paris,2021-10-26,64
297,Paris,2021-10-27,45
298,Paris,2021-10-27,45
299,Paris,2021-10-29,58
300,Paris,2021-10-29,58
301,Paris,2021-10-31,48
302,Paris,2021-11-01,42
303,Paris,2021-11-02,30
304,Paris,2021-11-03,29
305,Paris,2021-11-04,44
306,Paris,2021-11-05,30
307,Paris,2021-11-05,30
308,Paris,2021-11-06,30
309,Paris,2021-11-07,73
310,Paris,2021-11-09,57
311,Paris,2021-11-10,93
312,Paris,2021-11-11,123
313,Paris,2021-11-11,123
314,Paris,2021-11-13,90
315,Paris,2021-11-13,90
316,Paris,2021-11-15,48
317,Paris,2021-11-16,69
318,Paris,2021-11-16,69
319,Paris,2021-11-18,66
320,Paris,2021-11-18,66
321,Paris,2021-11-20,74
322,Paris,2021-11-20,74
323,Paris,2021-11-22,46
324,Paris,2021-11-23,43
325,Paris,2021-11-24,45
326,Paris,2021-11-25,58
327,Paris,2021-11-26,79
328,Paris,2021-11-27,38
329,Paris,2021-11-28,28
330,Paris,2021-11-29,16
331,Paris,2021-11-30,45
332,Paris,2021-12-01,44
333,Paris,2021-12-02,27
334,Paris,2021-12-03,35
335,Paris,2021-12-04,50
336,Paris,2021-12-04,50
337,Paris,2021-12-06,33
338,Paris,2021-12-07,36
339,Paris,2021-12-08,43
340,Paris,2021-12-08,43
341,Paris,2021-12-10,50
342,Paris,2021-12-11,28
343,Paris,2021-12-11,28
344,Paris,2021-12-13,64
345,Paris,2021-12-13,64
346,Paris,2021-12-15,72
347,Paris,2021-12-16,67
348,Paris,2021-12-17,84
349,Paris,2021-12-17,84
350,Paris,2021-12-19,69
351,Paris,2021-12-19,69
352,Paris,2021-12-21,59
353,Paris,2021-12-22,74
354,Paris,2021-12-22,74
355,Paris,2021-12-24,92
356,Paris,2021-12-25,65
357,Paris,2021-12-26,73
358,Paris,2021-12-27,54
359,Paris,2021-12-28,47
360,Paris,2021-12-29,37
361,Paris,2021-12-30,38
362,Paris,2021-12-30,38
