,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
58,Franck Bonnamour,2022-05-19,Bretagne,Côtes-d'Armor,79.15,2:13:40,643,258,1783,243,103,35.5,67.9,Quelques nuages,13,85,13,8.7,SSW
59,Franck Bonnamour,2022-05-17,Bretagne,Côtes-d'Armor,55.43,1:54:32,538,194,1182,115,78,29.0,62.5,Quelques nuages,17,83,17,15.2,SSE
60,Franck Bonnamour,2022-05-10,Auvergne-Rhône-Alpes,Isère,36.02,1:15:01,521,215,852,93,86,28.8,76.3,Dégagé,21,55,21,1.6,WNW
61,Franck Bonnamour,2022-05-01,Bretagne,Côtes-d'Armor,64.11,2:04:14,564,220,1538,169,88,31.0,67.8,Quelques nuages,10,93,9,6.8,E
62,Franck Bonnamour,2022-06-27,Bretagne,Côtes-d'Armor,70.46,2:14:07,578,249,1842,222,100,31.5,58.1,Quelques nuages,15,75,15,19.5,WSW
63,Franck Bonnamour,2022-06-24,Bretagne,Côtes-d'Armor,63.36,2:01:52,867,239,1567,188,96,31.2,60.7,Quelques nuages,15,87,15,17.5,SW
64,Franck Bonnamour,2022-06-23,Bretagne,Côtes-d'Armor,64.07,2:00:01,581,226,1521,164,90,32.0,57.4,Nuages,15,92,15,7.1,SW
65,Franck Bonnamour,2022-06-22,Bretagne,Côtes-d'Armor,61.61,2:01:28,543,234,1487,178,94,30.4,59.0,Quelques nuages,20,70,20,17.7,NE
66,Franck Bonnamour,2022-06-04,Auvergne-Rhône-Alpes,Ain,65.25,1:50:37,648,250,1661,999,99,35.4,64.0,Quelques nuages,25,62,25,7.6,S
67,Franck Bonnamour,2022-06-03,Auvergne-Rhône-Alpes,Drôme,43.54,1:20:32,229,191,922,999,99,32.4,54.4,Quelques nuages,31,40,31,17.2,S
68,Franck Bonnamour,2022-07-31,Bretagne,Côtes-d'Armor,73.42,2:11:05,670,244,1827,218,98,33.6,65.8,Quelques nuages,17,94,17,16.4,WSW
69,Franck Bonnamour,2022-07-30,Bretagne,Côtes-d'Armor,69.15,2:00:03,741,262,1809,224,105,34.6,66.1,Quelques nuages,19,85,19,13.9,NW
70,Franck Bonnamour,2022-07-27,Bretagne,Morbihan,89.17,2:12:00,408,274,1872,264,110,40.5,69.1,Quelques nuages,23,43,23,14.8,N
71,Franck Bonnamour,2022-07-26,Normandie,Calvados,80.22,2:01:35,213,266,1611,231,106,39.6,71.7,Quelques nuages,20,56,20,15.6,NNW
72,Franck Bonnamour,2022-07-24,Île-de-France,Hauts-de-Seine,117.11,3:12:10,786,315,3637,999,99,36.6,77.1,Dégagé,32,30,32,10.2,S
73,Franck Bonnamour,2022-07-23,Occitanie,Lot,40.74,58:08,407,305,1027,144,122,42.1,76.4,Quelques nuages,25,55,25,9.8,NW
74,Franck Bonnamour,2022-07-22,Occitanie,Hautes-Pyrénées,189.96,4:19:38,879,423,6583,999,99,43.9,81.3,Quelques nuages,27,63,28,17.6,WNW
75,Franck Bonnamour,2022-07-21,Occitanie,Hautes-Pyrénées,14.88,24:19,13,257,375,999,99,36.7,66.8,Dégagé,25,41,25,6.8,NNE
76,Franck Bonnamour,2022-07-21,Occitanie,Hautes-Pyrénées,145.0,4:40:45,3985,345,5811,999,99,31.0,88.1,Dégagé,28,47,28,9.1,NNE
77,Franck Bonnamour,2022-07-20,Auvergne-Rhône-Alpes,Ain,132.29,3:49:32,3318,391,5390,999,99,34.6,84.2,Quelques nuages,25,56,25,5.1,N
78,Franck Bonnamour,2022-07-19,Occitanie,Aude,183.15,5:03:46,3126,341,6218,999,99,36.2,91.6,Quelques nuages,30,50,31,25.5,E
79,Franck Bonnamour,2022-07-18,Occitanie,Aude,9.95,29:38,90,79,141,999,99,20.1,43.1,Dégagé,32,34,32,32.6,ESE
80,Franck Bonnamour,2022-07-17,Occitanie,Aveyron,205.9,5:01:38,1559,380,6882,999,99,41.0,92.3,Dégagé,33,11,33,4.8,ENE
81,Franck Bonnamour,2022-07-16,Auvergne-Rhône-Alpes,Ain,200.52,4:54:20,1966,400,7064,999,99,40.9,93.5,Dégagé,26,30,26,12.1,N
82,Franck Bonnamour,2022-07-15,Auvergne-Rhône-Alpes,Isère,197.3,4:35:47,1472,411,6796,999,99,42.9,86.4,Dégagé,28,28,28,8.4,NW
