Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent,Objectif,Qualité Air
Thibaut Pinot,2022-11-26,Bourgogne-Franche-Comté,Haute-Saône,122.05,4:01:24,1666,999,9999,999,99,30.3,71.7,Nuages,4,100,4,3.2,ENE,2023,37.0
Thibaut Pinot,2022-11-24,Bourgogne-Franche-Comté,Haute-Saône,119.51,4:04:36,1541,999,9999,999,99,29.3,62.7,Pluie,7,92,4,14.8,SW,2023,31.0
Thibaut Pinot,2022-12-31,Provence-Alpes-Côte d'Azur,Var,182.29,6:01:01,2621,999,9999,999,99,30.3,79.4,Quelques nuages,12,91,12,15.3,ENE,2023,32.0
Thibaut Pinot,2022-12-29,Provence-Alpes-Côte d'Azur,Var,166.28,5:22:04,2097,999,9999,999,99,31.0,59.1,Quelques nuages,13,88,13,10.0,S,2023,32.0
Thibaut Pinot,2022-12-28,Provence-Alpes-Côte d'Azur,Var,154.45,5:02:13,2488,999,9999,999,99,30.7,61.7,Dégagé,9,72,8,6.9,NW,2023,25.0
Thibaut Pinot,2022-12-27,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,114.7,3:36:42,1513,999,9999,999,99,31.8,67.9,Dégagé,13,62,13,12.7,NW,2023,33.0
Thibaut Pinot,2022-12-24,Bourgogne-Franche-Comté,Haute-Saône,113.36,4:04:02,2378,999,9999,999,99,27.9,85.5,Nuages,9,93,8,11.2,WSW,2023,8.0
Thibaut Pinot,2022-12-07,Bourgogne-Franche-Comté,Haute-Saône,114.78,4:00:07,1857,999,9999,999,99,28.7,73.0,Quelques nuages,2,99,2,3.4,NNE,2023,27.58744394618834
Thibaut Pinot,2022-12-05,Bourgogne-Franche-Comté,Haute-Saône,117.64,4:00:36,1091,999,9999,999,99,29.3,58.8,Nuages,2,87,1,5.1,SSW,2023,52.0
Thibaut Pinot,2022-12-04,Bourgogne-Franche-Comté,Haute-Saône,66.21,2:12:56,956,999,9999,999,99,29.9,63.5,Nuages,1,92,1,4.5,ESE,2023,39.0
Thibaut Pinot,2022-12-03,Bourgogne-Franche-Comté,Haute-Saône,111.22,3:50:26,1458,999,9999,999,99,29.0,68.3,Nuages,0,98,3,8.2,E,2023,63.0
Clément Berthet,2023-01-31,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,88.86,3:02:39,1368,230,2210,84,52,29.2,61.7,Dégagé,11,58,11,9.8,NE,2023,47.0
Clément Berthet,2023-01-30,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,58.36,1:56:12,707,230,1453,53,52,30.1,62.1,Quelques nuages,10,47,10,4.7,SSE,2023,42.0
Clément Berthet,2023-01-22,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,41.84,1:24:58,494,195,891,29,44,29.6,56.0,Quelques nuages,8,25,7,7.7,NNE,2023,37.0
Clément Berthet,2023-01-21,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,119.85,4:03:10,1764,232,3027,112,52,29.6,60.0,Quelques nuages,8,23,8,5.5,SSE,2023,23.0
Clément Berthet,2023-01-20,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,139.97,4:52:47,2712,279,3928,203,63,28.7,72.4,Quelques nuages,7,46,5,10.9,NW,2023,20.0
Clément Berthet,2023-01-18,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,170.96,5:49:48,2713,261,4500,211,59,29.3,65.8,Dégagé,7,57,3,21.6,W,2023,30.0
Clément Berthet,2023-01-17,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,91.95,3:09:35,1446,246,2447,100,56,29.1,71.7,Nuages,11,66,11,23.8,WSW,2023,16.0
Clément Berthet,2023-01-16,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,120.31,4:03:50,2145,280,3249,172,63,29.6,65.4,Pluie,9,74,6,21.2,W,2023,22.0
Clément Berthet,2023-01-15,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,125.69,4:01:52,1714,245,3160,129,55,31.2,67.9,Nuages,10,75,9,7.5,NW,2023,42.0
Clément Berthet,2023-01-14,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,57.8,1:54:59,580,188,1155,37,43,30.2,55.5,Quelques nuages,7,70,5,8.1,NNW,2023,22.0
Clément Berthet,2023-01-13,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,144.31,5:01:24,2995,262,3996,180,59,28.7,73.6,Nuages,11,57,11,11.1,W,2023,35.0
Clément Berthet,2023-01-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,101.62,3:31:47,1677,250,2673,119,57,28.8,68.7,Nuages,14,55,14,5.3,SSW,2023,34.0
Clément Berthet,2023-01-11,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,126.93,4:10:57,2019,275,3384,165,62,30.3,66.4,Quelques nuages,10,49,10,6.6,N,2023,26.0
Clément Berthet,2023-01-11,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,29.11,59:00,307,199,657,21,45,29.6,52.3,Quelques nuages,8,51,6,9.8,NNW,2023,26.0
Clément Berthet,2023-01-10,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,117.2,3:58:32,2165,278,3347,163,63,29.5,82.0,Dégagé,10,49,10,12.4,NW,2023,17.0
Clément Berthet,2023-01-06,Bourgogne-Franche-Comté,Doubs,65.79,1:58:00,538,221,1474,52,50,33.5,64.9,Nuages,10,94,10,6.0,WSW,2023,14.0
Clément Berthet,2023-01-05,Bourgogne-Franche-Comté,Doubs,149.42,5:00:12,2724,268,4068,187,61,29.9,74.5,Pluie,10,99,8,13.9,SW,2023,24.0
Clément Berthet,2023-01-04,Bourgogne-Franche-Comté,Doubs,142.51,4:40:31,2314,252,3765,158,57,30.5,66.2,Nuages,6,91,3,11.5,SSW,2023,27.58744394618834
Clément Berthet,2023-01-03,Bourgogne-Franche-Comté,Doubs,41.13,1:30:43,742,212,1023,34,48,27.2,60.9,Nuages,6,100,6,3.0,S,2023,34.0
Clément Berthet,2023-01-02,Bourgogne-Franche-Comté,Doubs,92.32,2:55:53,978,253,2394,98,57,31.5,67.6,Vent,12,67,12,22.5,SSW,2023,32.0
Clément Berthet,2023-01-01,Bourgogne-Franche-Comté,Doubs,118.07,4:04:25,1823,229,3084,110,52,29.0,61.7,Quelques nuages,13,69,13,18.7,SSW,2023,24.0
Clément Berthet,2023-02-28,Bourgogne-Franche-Comté,Doubs,87.14,3:05:36,1279,227,2326,85,51,28.2,66.1,Nuages,1,63,3,13.8,NE,2023,19.0
Clément Berthet,2023-02-15,Bourgogne-Franche-Comté,Doubs,92.0,3:01:35,1533,278,2499,123,63,30.4,63.7,Dégagé,10,57,10,3.1,NW,2023,27.58744394618834
Clément Berthet,2023-02-14,Bourgogne-Franche-Comté,Doubs,133.94,3:58:15,1443,264,3294,146,60,33.7,67.5,Dégagé,9,60,9,3.9,N,2023,27.58744394618834
Clément Berthet,2023-02-13,Bourgogne-Franche-Comté,Doubs,30.34,1:10:58,466,189,732,21,43,25.7,55.0,Dégagé,11,56,11,2.4,WNW,2023,27.58744394618834
Clément Berthet,2023-02-12,Bourgogne-Franche-Comté,Doubs,127.67,4:28:04,1996,230,3307,125,52,28.6,65.8,Dégagé,4,73,4,3.6,ENE,2023,27.58744394618834
Clément Berthet,2023-02-11,Bourgogne-Franche-Comté,Doubs,106.22,3:26:08,1803,283,2802,145,64,30.9,60.2,Quelques nuages,2,66,2,3.6,NE,2023,27.58744394618834
Clément Berthet,2023-02-10,Bourgogne-Franche-Comté,Doubs,92.88,3:00:17,1591,260,2458,106,59,30.9,65.7,Quelques nuages,4,60,3,6.9,N,2023,27.58744394618834
Clément Berthet,2023-02-08,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,149.33,5:13:35,3033,261,4033,189,59,28.6,70.8,Dégagé,7,40,4,18.0,NE,2023,34.0
Clément Berthet,2023-02-07,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,98.72,3:26:14,2000,286,2755,153,65,28.7,70.4,Quelques nuages,8,50,4,27.1,ENE,2023,35.0
Clément Berthet,2023-02-06,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,36.4,1:30:05,564,188,873,28,43,24.2,65.0,Dégagé,10,62,10,26.2,ENE,2023,37.0
Clément Berthet,2023-02-05,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,164.87,5:23:17,2530,269,4488,209,61,30.6,63.8,Dégagé,12,72,12,10.9,WSW,2023,49.0
Clément Berthet,2023-02-04,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,103.73,3:32:59,1423,249,2647,121,56,29.2,61.2,Quelques nuages,9,75,8,7.5,N,2023,47.0
Clément Berthet,2023-02-03,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,44.06,1:32:07,372,203,973,34,46,28.7,58.6,Dégagé,14,49,14,8.1,SSE,2023,35.0
Clément Berthet,2023-02-02,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,104.34,3:42:57,2048,265,2825,139,60,28.1,67.1,Dégagé,12,63,12,6.8,N,2023,40.0
Clément Berthet,2023-02-01,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,92.5,3:23:04,1794,237,2486,103,54,27.3,61.8,Quelques nuages,9,58,8,11.0,NNE,2023,36.0
Clément Berthet,2023-03-31,Bourgogne-Franche-Comté,Doubs,101.91,3:28:34,1759,244,2800,107,55,29.3,67.6,Pluie,12,74,11,26.1,SW,2023,13.0
Clément Berthet,2023-03-18,Bourgogne-Franche-Comté,Doubs,65.45,2:04:00,1008,276,1659,80,62,31.7,68.7,Nuages,16,49,16,11.8,SW,2023,18.0
Clément Berthet,2023-03-17,Bourgogne-Franche-Comté,Doubs,77.51,2:27:19,1294,290,2093,108,66,31.6,65.0,Nuages,14,56,14,10.3,SW,2023,28.0
Clément Berthet,2023-03-16,Bourgogne-Franche-Comté,Doubs,139.49,4:38:02,2235,258,3880,159,58,30.1,70.4,Quelques nuages,8,67,8,3.4,ESE,2023,27.58744394618834
Clément Berthet,2023-03-15,Bourgogne-Franche-Comté,Doubs,83.07,2:45:42,1118,254,2254,90,57,30.1,66.6,Quelques nuages,7,62,5,9.2,W,2023,27.58744394618834
Clément Berthet,2023-03-13,Bourgogne-Franche-Comté,Doubs,43.94,1:31:42,726,243,1188,47,55,28.8,68.2,Nuages,18,57,18,25.0,SW,2023,27.58744394618834
Clément Berthet,2023-03-12,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,127.55,3:16:27,2305,324,3148,175,73,39.0,84.7,Dégagé,19,43,19,7.6,S,2023,18.0
Clément Berthet,2023-03-11,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,152.77,4:19:04,3382,305,4120,205,69,35.4,92.0,Quelques nuages,19,51,19,14.9,WSW,2023,24.0
Clément Berthet,2023-03-09,Auvergne-Rhône-Alpes,Ain,218.95,5:29:58,1975,241,3598,166,55,39.8,86.3,Nuages,13,56,13,9.8,SW,2023,3.0
Clément Berthet,2023-03-08,Auvergne-Rhône-Alpes,Ain,168.94,4:10:59,2532,294,3556,186,67,40.4,83.0,Nuages,12,79,12,29.2,SW,2023,5.39
Clément Berthet,2023-03-07,Auvergne-Rhône-Alpes,Loire,32.1,35:22,162,387,813,45,88,54.5,70.3,Nuages,8,57,5,15.7,SW,2023,10.77
Clément Berthet,2023-03-07,Auvergne-Rhône-Alpes,Loire,32.92,49:28,155,194,526,16,44,39.9,60.9,Nuages,6,66,3,17.3,SW,2023,10.77
Clément Berthet,2023-03-06,Auvergne-Rhône-Alpes,Ain,167.24,3:37:50,916,229,2267,98,52,46.1,84.1,Nuages,6,68,3,12.8,NW,2023,9.65
Clément Berthet,2023-03-05,Île-de-France,Yvelines,177.41,4:04:47,1551,276,3236,159,62,43.5,84.8,Quelques nuages,6,62,6,3.7,NW,2023,74.0
Clément Berthet,2023-03-04,Île-de-France,Yvelines,47.53,1:28:32,417,216,932,35,49,32.2,63.5,Quelques nuages,2,79,1,10.7,NNE,2023,99.0
Clément Berthet,2023-03-03,Auvergne-Rhône-Alpes,Loire,102.13,2:27:13,461,252,1546,84,57,41.6,64.4,Quelques nuages,3,77,0,9.5,N,2023,18.32
Clément Berthet,2023-03-02,Bourgogne-Franche-Comté,Doubs,71.51,2:28:10,1262,302,2105,117,68,29.0,66.9,Dégagé,4,69,4,4.2,SSE,2023,61.0
Clément Berthet,2023-03-01,Bourgogne-Franche-Comté,Doubs,125.17,4:11:34,2137,264,3569,156,60,29.9,64.2,Quelques nuages,4,66,0,16.6,NE,2023,27.58744394618834
Clément Berthet,2023-04-28,Auvergne-Rhône-Alpes,Ain,18.57,26:53,378,370,581,31,84,41.5,92.3,Nuages,18,62,18,6.0,SW,2023,1.53
Clément Berthet,2023-04-28,Auvergne-Rhône-Alpes,Ain,20.94,40:55,424,246,530,21,56,30.7,83.6,Nuages,16,63,15,6.3,SW,2023,1.53
Clément Berthet,2023-04-18,Grand Est,Vosges,85.1,3:30:50,2668,265,3143,130,60,24.2,63.5,Nuages,9,69,7,11.9,ENE,2023,6.65
Clément Berthet,2023-04-17,Bourgogne-Franche-Comté,Doubs,29.8,53:54,357,218,663,21,49,33.2,58.2,Quelques nuages,14,61,13,16.3,NE,2023,35.0
Clément Berthet,2023-04-16,Bourgogne-Franche-Comté,Doubs,6.02,8:46,5,169,70,2,38,41.2,58.3,Brouillard,6,81,4,8.4,NNW,2023,27.58744394618834
Clément Berthet,2023-04-15,Auvergne-Rhône-Alpes,Ain,8.72,13:45,24,177,103,3,40,38.1,65.9,Pluie,7,82,5,12.8,W,2023,0.8
Clément Berthet,2023-04-13,Bourgogne-Franche-Comté,Doubs,46.13,1:28:47,589,238,1201,43,54,31.2,63.0,Pluie,5,69,2,13.2,WNW,2023,23.0
Clément Berthet,2023-04-12,Bourgogne-Franche-Comté,Doubs,52.73,1:50:08,707,283,1583,76,64,28.7,59.1,Nuages,10,75,9,19.2,SSW,2023,13.0
Clément Berthet,2023-04-11,Bourgogne-Franche-Comté,Doubs,115.41,3:35:06,1649,277,3110,144,63,32.2,63.1,Nuages,9,79,7,12.1,W,2023,27.58744394618834
Clément Berthet,2023-04-09,Bourgogne-Franche-Comté,Jura,157.38,5:03:34,2125,242,4063,157,55,31.1,70.9,Dégagé,4,72,3,6.5,E,2023,15.0
Clément Berthet,2023-04-08,Bourgogne-Franche-Comté,Jura,121.59,3:58:35,2327,290,3558,179,66,30.6,73.9,Dégagé,5,70,3,10.0,NE,2023,27.58744394618834
Clément Berthet,2023-04-07,Bourgogne-Franche-Comté,Doubs,30.14,55:55,367,204,633,20,46,32.3,61.0,Pluie,8,81,7,7.8,WNW,2023,27.58744394618834
Clément Berthet,2023-04-06,Bourgogne-Franche-Comté,Doubs,165.85,5:30:22,2817,277,4597,224,63,30.1,66.9,Nuages,6,61,5,3.7,SSW,2023,27.58744394618834
Clément Berthet,2023-04-05,Bourgogne-Franche-Comté,Doubs,115.58,3:03:10,632,266,2562,116,60,37.9,64.1,Dégagé,4,60,2,7.3,NE,2023,27.58744394618834
Clément Berthet,2023-04-04,Bourgogne-Franche-Comté,Doubs,145.39,5:03:40,2829,250,4115,167,57,28.7,76.0,Dégagé,6,50,2,19.8,NE,2023,27.58744394618834
Clément Berthet,2023-04-03,Bourgogne-Franche-Comté,Doubs,108.16,3:29:46,1767,275,3095,135,62,30.9,67.3,Nuages,4,86,1,12.9,NE,2023,27.58744394618834
Clément Berthet,2023-04-01,Bourgogne-Franche-Comté,Doubs,65.5,2:15:59,1215,254,1824,74,57,28.9,67.4,Pluie,8,83,5,21.8,SW,2023,25.0
Clément Berthet,2023-06-23,Hauts-de-France,Nord,34.48,1:05:07,274,200,682,23,45,31.8,56.1,Quelques nuages,20,77,20,5.8,SSW,2023,65.0
Clément Berthet,2023-06-22,Hauts-de-France,Nord,31.22,42:47,333,383,985,58,87,43.8,68.5,Nuages,23,62,23,14.1,NNW,2023,58.0
Clément Berthet,2023-06-20,Hauts-de-France,Pas-de-Calais,38.55,1:12:09,365,208,807,26,47,32.1,66.9,Nuages,24,74,25,14.0,SW,2023,44.0
Clément Berthet,2023-06-19,Bourgogne-Franche-Comté,Doubs,43.38,1:32:16,581,214,1078,36,48,28.2,69.2,Quelques nuages,26,50,26,5.3,WSW,2023,39.0
Clément Berthet,2023-06-09,Bourgogne-Franche-Comté,Doubs,95.91,3:03:04,1611,278,2558,123,63,31.4,72.3,Quelques nuages,22,62,22,4.5,NNE,2023,39.0
Clément Berthet,2023-06-07,Bourgogne-Franche-Comté,Doubs,79.27,2:11:27,864,279,1825,88,63,36.2,74.2,Dégagé,25,41,24,9.4,NE,2023,31.0
Clément Berthet,2023-06-05,Bourgogne-Franche-Comté,Doubs,70.64,2:03:47,874,223,1531,52,50,34.2,69.8,Dégagé,17,68,17,3.4,NE,2023,37.0
Clément Berthet,2023-06-04,Bourgogne-Franche-Comté,Doubs,96.91,3:00:26,1613,301,2713,141,68,32.2,66.0,Dégagé,22,66,22,3.8,N,2023,29.0
Clément Berthet,2023-06-03,Bourgogne-Franche-Comté,Doubs,97.04,3:00:26,1417,263,2481,109,60,32.3,67.5,Dégagé,19,66,18,2.9,NNW,2023,32.0
Clément Berthet,2023-06-02,Bourgogne-Franche-Comté,Doubs,74.85,2:31:35,1001,235,1943,75,53,29.6,68.0,Dégagé,23,50,23,14.2,NNE,2023,24.0
Clément Berthet,2022-09-29,Bourgogne-Franche-Comté,Doubs,83.25,2:38:16,1274,287,2327,112,65,31.6,75.3,Pluie,8,100,8,5.2,S,2023,16.0
Clément Berthet,2022-09-27,Bourgogne-Franche-Comté,Doubs,84.68,2:47:27,1521,292,2423,124,66,30.3,64.7,Pluie,9,94,6,15.8,WSW,2023,27.58744394618834
Clément Berthet,2022-09-26,Bourgogne-Franche-Comté,Doubs,163.48,5:30:16,2810,239,4276,164,54,29.7,76.3,Nuages,11,97,11,7.8,SW,2023,25.0
Clément Berthet,2022-09-25,Bourgogne-Franche-Comté,Doubs,78.03,2:36:24,1471,305,2312,124,69,29.9,84.8,Quelques nuages,13,83,13,3.6,NNW,2023,19.0
Clément Berthet,2022-09-24,Bourgogne-Franche-Comté,Doubs,67.56,2:17:17,930,248,1786,74,56,29.5,82.7,Pluie,16,85,16,7.0,SW,2023,22.0
Clément Berthet,2022-09-22,Bourgogne-Franche-Comté,Doubs,193.33,6:44:15,3586,239,5311,205,54,28.7,83.2,Dégagé,10,76,10,3.1,NNE,2023,10.0
Clément Berthet,2022-09-21,Bourgogne-Franche-Comté,Doubs,96.63,2:59:16,1217,254,2531,100,57,32.3,67.6,Dégagé,14,56,14,17.5,NE,2023,24.0
Clément Berthet,2022-09-20,Bourgogne-Franche-Comté,Doubs,57.8,1:56:52,740,237,1518,58,54,29.7,66.5,Dégagé,16,51,16,11.9,NNE,2023,27.58744394618834
Clément Berthet,2022-09-11,Bourgogne-Franche-Comté,Doubs,95.12,2:59:31,1499,289,2580,129,65,31.8,76.7,Quelques nuages,15,86,15,4.5,ENE,2023,12.0
Clément Berthet,2022-09-09,Bourgogne-Franche-Comté,Doubs,101.08,2:46:51,804,285,2452,117,64,36.4,76.8,Quelques nuages,16,87,16,19.0,SW,2023,10.0
Clément Berthet,2022-09-08,Bourgogne-Franche-Comté,Doubs,133.62,4:30:50,2364,273,3614,177,62,29.6,63.9,Quelques nuages,16,87,16,14.5,SW,2023,19.0
Clément Berthet,2022-09-07,Bourgogne-Franche-Comté,Doubs,102.95,2:48:54,935,269,2383,108,61,36.6,68.2,Quelques nuages,22,79,22,6.1,NNW,2023,22.0
Clément Berthet,2022-09-05,Bourgogne-Franche-Comté,Doubs,51.82,1:28:35,417,237,1154,44,54,35.1,66.4,Dégagé,19,79,19,4.2,ESE,2023,11.0
Clément Berthet,2022-09-02,Bourgogne-Franche-Comté,Doubs,49.95,1:26:21,427,224,1082,38,51,34.7,68.3,Nuages,24,56,24,10.1,SW,2023,27.0
Clément Berthet,2022-09-01,Bourgogne-Franche-Comté,Doubs,79.56,2:24:46,1072,305,2111,115,69,33.0,78.5,Quelques nuages,18,70,18,9.6,ENE,2023,29.0
