,date,PM 2.5,Station
414,2022-02-19,1.1,Grand Est
415,2022-02-20,0.4,Grand Est
416,2022-02-21,1.12,Grand Est
417,2022-02-22,2.0,Grand Est
418,2022-02-23,1.8,Grand Est
419,2022-02-24,2.0,Grand Est
420,2022-02-25,1.33,Grand Est
421,2022-02-26,2.37,Grand Est
422,2022-02-27,2.47,Grand Est
423,2022-02-28,6.47,Grand Est
424,2022-03-01,8.98,Grand Est
425,2022-03-02,13.82,Grand Est
426,2022-03-03,18.75,Grand Est
427,2022-03-04,10.97,Grand Est
428,2022-03-05,7.1,Grand Est
429,2022-03-06,6.82,Grand Est
430,2022-03-07,6.2,Grand Est
431,2022-03-08,8.05,Grand Est
432,2022-03-09,14.93,Grand Est
433,2022-03-10,19.29,Grand Est
434,2022-03-11,11.02,Grand Est
435,2022-03-12,12.7,Grand Est
436,2022-03-13,15.24,Grand Est
437,2022-03-14,0.93,Grand Est
438,2022-03-15,4.03,Grand Est
439,2022-03-16,28.83,Grand Est
440,2022-03-17,26.1,Grand Est
441,2022-03-18,8.23,Grand Est
442,2022-03-19,15.55,Grand Est
443,2022-03-20,14.0,Grand Est
444,2022-03-21,12.54,Grand Est
445,2022-03-22,11.81,Grand Est
446,2022-03-23,11.75,Grand Est
447,2022-03-24,17.05,Grand Est
448,2022-03-25,21.91,Grand Est
449,2022-03-26,13.54,Grand Est
450,2022-03-27,9.16,Grand Est
451,2022-03-28,10.88,Grand Est
452,2022-03-29,8.55,Grand Est
453,2022-03-30,14.65,Grand Est
454,2022-03-31,0.1,Grand Est
455,2022-04-01,0.1,Grand Est
456,2022-04-02,0.1,Grand Est
457,2022-04-03,0.1,Grand Est
458,2022-04-04,0.1,Grand Est
459,2022-04-05,0.2,Grand Est
460,2022-04-06,0.1,Grand Est
461,2022-04-07,0.0,Grand Est
462,2022-04-08,0.0,Grand Est
463,2022-04-09,0.1,Grand Est
464,2022-04-10,0.2,Grand Est
465,2022-04-11,0.3,Grand Est
466,2022-04-12,0.55,Grand Est
467,2022-04-13,0.4,Grand Est
468,2022-04-14,0.92,Grand Est
469,2022-04-15,0.88,Grand Est
470,2022-04-16,0.2,Grand Est
471,2022-04-17,0.2,Grand Est
472,2022-04-18,0.28,Grand Est
473,2022-04-19,0.32,Grand Est
474,2022-04-20,0.3,Grand Est
475,2022-04-21,0.32,Grand Est
476,2022-04-22,0.85,Grand Est
477,2022-04-23,0.93,Grand Est
478,2022-04-24,0.15,Grand Est
479,2022-04-25,0.32,Grand Est
480,2022-04-26,0.68,Grand Est
481,2022-04-27,0.47,Grand Est
482,2022-04-28,0.5,Grand Est
483,2022-04-29,0.77,Grand Est
484,2022-04-30,1.48,Grand Est
485,2022-05-01,1.7,Grand Est
486,2022-05-02,1.6,Grand Est
487,2022-05-03,0.97,Grand Est
488,2022-05-04,0.95,Grand Est
489,2022-05-05,1.5,Grand Est
490,2022-05-06,0.68,Grand Est
491,2022-05-07,0.56,Grand Est
492,2022-05-08,0.75,Grand Est
493,2022-05-09,1.1,Grand Est
494,2022-05-10,1.17,Grand Est
495,2022-05-11,0.65,Grand Est
496,2022-05-12,0.5,Grand Est
497,2022-05-13,0.3,Grand Est
498,2022-05-14,0.2,Grand Est
499,2022-05-15,0.55,Grand Est
500,2022-05-16,0.6,Grand Est
501,2022-05-17,0.7,Grand Est
502,2022-05-18,0.64,Grand Est
503,2022-05-19,0.8,Grand Est
504,2022-05-20,0.88,Grand Est
505,2022-05-21,0.2,Grand Est
506,2022-05-22,0.35,Grand Est
507,2022-05-23,0.55,Grand Est
508,2022-05-24,0.1,Grand Est
509,2022-05-25,0.2,Grand Est
510,2022-05-26,0.2,Grand Est
511,2022-05-27,0.4,Grand Est
512,2022-05-28,0.3,Grand Est
513,2022-05-29,0.35,Grand Est
514,2022-05-30,0.45,Grand Est
515,2022-05-31,0.5,Grand Est
516,2022-06-01,0.4,Grand Est
517,2022-06-02,0.5,Grand Est
518,2022-06-03,1.2,Grand Est
519,2022-06-04,2.94,Grand Est
520,2022-06-05,1.38,Grand Est
521,2022-06-06,0.6,Grand Est
522,2022-06-07,0.7,Grand Est
523,2022-06-08,0.6,Grand Est
524,2022-06-09,0.4,Grand Est
525,2022-06-10,0.7,Grand Est
526,2022-06-11,1.1,Grand Est
527,2022-06-12,1.14,Grand Est
528,2022-06-13,0.75,Grand Est
529,2022-06-14,1.42,Grand Est
530,2022-06-15,1.6,Grand Est
531,2022-06-16,1.35,Grand Est
532,2022-06-17,0.7,Grand Est
533,2022-06-18,1.4,Grand Est
534,2022-06-19,2.1,Grand Est
535,2022-06-20,1.8,Grand Est
536,2022-06-21,1.45,Grand Est
537,2022-06-22,1.8,Grand Est
538,2022-06-23,1.2,Grand Est
539,2022-06-24,0.82,Grand Est
540,2022-06-25,0.5,Grand Est
541,2022-06-26,0.8,Grand Est
542,2022-06-27,0.9,Grand Est
543,2022-06-28,0.7,Grand Est
544,2022-06-29,1.4,Grand Est
545,2022-06-30,1.7,Grand Est
546,2022-07-01,0.32,Grand Est
547,2022-07-02,0.8,Grand Est
548,2022-07-03,0.56,Grand Est
549,2022-07-04,0.55,Grand Est
550,2022-07-05,0.5,Grand Est
551,2022-07-06,0.8,Grand Est
552,2022-07-07,0.9,Grand Est
553,2022-07-08,0.88,Grand Est
554,2022-07-09,1.1,Grand Est
555,2022-07-10,0.65,Grand Est
556,2022-07-11,1.2,Grand Est
557,2022-07-12,0.6,Grand Est
558,2022-07-13,0.6,Grand Est
559,2022-07-14,1.02,Grand Est
560,2022-07-15,1.17,Grand Est
561,2022-07-16,1.0,Grand Est
562,2022-07-17,0.8,Grand Est
563,2022-07-18,1.1,Grand Est
564,2022-07-19,1.52,Grand Est
565,2022-07-20,5.43,Grand Est
566,2022-07-21,3.9,Grand Est
567,2022-07-22,4.34,Grand Est
568,2022-07-23,3.97,Grand Est
569,2022-07-24,3.97,Grand Est
570,2022-07-25,4.43,Grand Est
571,2022-07-26,0.6,Grand Est
572,2022-07-27,0.8,Grand Est
573,2022-07-28,1.6,Grand Est
574,2022-07-29,1.52,Grand Est
575,2022-07-30,0.9,Grand Est
576,2022-07-31,0.98,Grand Est
577,2022-08-01,1.0,Grand Est
578,2022-08-02,1.1,Grand Est
579,2022-08-03,1.6,Grand Est
580,2022-08-04,1.27,Grand Est
581,2022-08-05,1.2,Grand Est
582,2022-08-06,0.5,Grand Est
583,2022-08-07,0.3,Grand Est
584,2022-08-08,4.674106951871658,Grand Est
585,2022-08-09,4.674106951871658,Grand Est
586,2022-08-10,4.674106951871658,Grand Est
587,2022-08-11,4.674106951871658,Grand Est
588,2022-08-12,4.674106951871658,Grand Est
589,2022-08-13,4.674106951871658,Grand Est
590,2022-08-14,4.674106951871658,Grand Est
591,2022-08-15,4.674106951871658,Grand Est
592,2022-08-16,4.674106951871658,Grand Est
593,2022-08-17,4.674106951871658,Grand Est
594,2022-08-18,4.674106951871658,Grand Est
595,2022-08-19,4.674106951871658,Grand Est
596,2022-08-20,4.674106951871658,Grand Est
597,2022-08-21,4.674106951871658,Grand Est
598,2022-08-22,4.674106951871658,Grand Est
599,2022-08-23,4.674106951871658,Grand Est
600,2022-08-24,4.674106951871658,Grand Est
601,2022-08-25,1.92,Grand Est
602,2022-08-26,2.78,Grand Est
603,2022-08-27,7.9,Grand Est
604,2022-08-28,3.05,Grand Est
605,2022-08-29,1.64,Grand Est
606,2022-08-30,2.1,Grand Est
607,2022-08-31,4.19,Grand Est
608,2022-09-01,2.88,Grand Est
609,2022-09-02,1.48,Grand Est
610,2022-09-03,2.39,Grand Est
611,2022-09-04,1.2,Grand Est
612,2022-09-05,2.02,Grand Est
613,2022-09-06,1.65,Grand Est
614,2022-09-07,1.23,Grand Est
615,2022-09-08,0.63,Grand Est
616,2022-09-09,0.55,Grand Est
617,2022-09-10,0.55,Grand Est
618,2022-09-11,1.0,Grand Est
619,2022-09-12,4.674106951871658,Grand Est
620,2022-09-13,4.674106951871658,Grand Est
621,2022-09-14,4.674106951871658,Grand Est
622,2022-09-15,4.674106951871658,Grand Est
623,2022-09-16,4.674106951871658,Grand Est
