,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
71,David Gaudu,2023-06-08,Auvergne-Rhône-Alpes,Ain,190.6,4:04:24,2106,999,9999,999,99,46.8,90.8,Quelques nuages,25,51,25,13.8,S
72,David Gaudu,2023-06-07,Auvergne-Rhône-Alpes,Rhône,30.91,39:52,404,999,9999,999,99,46.5,80.8,Quelques nuages,25,41,24,5.1,E
73,David Gaudu,2023-06-07,Auvergne-Rhône-Alpes,Rhône,30.93,48:44,426,999,9999,999,99,38.1,74.4,Dégagé,22,54,21,2.1,N
74,David Gaudu,2023-06-06,Auvergne-Rhône-Alpes,Loire,193.14,4:52:51,2129,999,9999,999,99,39.6,87.4,Quelques nuages,22,47,21,5.9,NNE
75,David Gaudu,2023-06-05,Auvergne-Rhône-Alpes,Puy-de-Dôme,166.56,3:54:55,2642,999,9999,999,99,42.5,82.8,Quelques nuages,22,61,22,5.4,NNW
76,David Gaudu,2023-06-04,Auvergne-Rhône-Alpes,Puy-de-Dôme,154.57,3:38:59,2169,999,9999,999,99,42.4,87.6,Nuages,19,67,19,4.7,ENE
77,David Gaudu,2023-06-03,Auvergne-Rhône-Alpes,Puy-de-Dôme,48.34,1:17:00,510,999,9999,999,99,37.7,78.0,Quelques nuages,18,69,18,3.4,ESE
78,David Gaudu,2023-06-01,Bretagne,Côtes-d'Armor,69.02,2:07:59,1011,999,9999,999,99,32.4,65.3,Nuages,12,95,11,18.7,NE
79,David Gaudu,2023-07-23,Île-de-France,Yvelines,112.53,2:56:24,721,999,9999,999,99,38.3,72.9,Nuages,22,72,22,20.1,SW
80,David Gaudu,2023-07-21,Bourgogne-Franche-Comté,Jura,172.12,3:44:58,1984,999,9999,999,99,45.9,84.5,Quelques nuages,22,60,21,9.0,WNW
81,David Gaudu,2023-07-20,Auvergne-Rhône-Alpes,Savoie,183.75,4:06:42,1130,999,9999,999,99,44.7,75.5,Dégagé,27,46,27,6.1,WNW
82,David Gaudu,2023-07-19,Auvergne-Rhône-Alpes,Savoie,163.79,4:51:25,5100,999,9999,999,99,33.7,100.1,Dégagé,24,52,24,7.2,WSW
83,David Gaudu,2023-07-18,Auvergne-Rhône-Alpes,Savoie,29.08,49:09,706,999,9999,999,99,35.5,113.3,Nuages,32,36,32,10.7,WSW
84,David Gaudu,2023-07-17,Auvergne-Rhône-Alpes,Ain,35.75,1:11:44,706,999,9999,999,99,29.9,70.9,Quelques nuages,22,63,22,3.8,WSW
85,David Gaudu,2023-07-16,Auvergne-Rhône-Alpes,Savoie,177.48,4:47:56,4246,999,9999,999,99,37.0,87.3,Quelques nuages,25,58,26,6.3,WNW
86,David Gaudu,2023-07-15,Auvergne-Rhône-Alpes,Savoie,151.06,4:10:55,4111,999,9999,999,99,36.1,99.7,Quelques nuages,29,41,29,9.5,WSW
87,David Gaudu,2023-07-14,Auvergne-Rhône-Alpes,Ain,137.39,3:20:21,2375,999,9999,999,99,41.1,84.7,Quelques nuages,27,44,27,10.3,S
88,David Gaudu,2023-07-13,Auvergne-Rhône-Alpes,Loire,167.92,3:57:59,3070,999,9999,999,99,42.3,84.3,Dégagé,23,49,23,9.8,NNW
89,David Gaudu,2023-07-12,Auvergne-Rhône-Alpes,Puy-de-Dôme,179.39,4:02:20,1863,999,9999,999,99,44.4,88.2,Nuages,24,66,25,5.5,NE
90,David Gaudu,2023-07-11,Auvergne-Rhône-Alpes,Puy-de-Dôme,166.35,3:55:31,3067,999,9999,999,99,42.4,89.6,Quelques nuages,29,56,31,4.2,SSE
91,David Gaudu,2023-07-10,Auvergne-Rhône-Alpes,Puy-de-Dôme,28.86,55:57,287,999,9999,999,99,31.0,59.4,Nuages,22,76,23,4.0,E
92,David Gaudu,2023-07-09,Auvergne-Rhône-Alpes,Ain,181.79,4:30:24,3475,999,9999,999,99,40.3,91.9,Dégagé,27,62,29,10.7,SW
93,David Gaudu,2023-07-08,Nouvelle-Aquitaine,Gironde,200.12,4:13:12,1979,999,9999,999,99,47.4,87.9,Dégagé,29,56,31,11.2,S
94,David Gaudu,2023-07-07,Nouvelle-Aquitaine,Landes,169.27,3:45:39,742,999,9999,999,99,45.0,77.2,Dégagé,29,60,31,12.9,ESE
95,David Gaudu,2023-07-06,Occitanie,Hautes-Pyrénées,143.97,3:57:44,3739,999,9999,999,99,36.3,90.4,Nuages,24,64,25,8.1,ENE
96,David Gaudu,2023-07-05,Nouvelle-Aquitaine,Pyrénées-Atlantiques,161.72,3:58:59,3369,999,9999,999,99,40.6,95.1,Nuages,23,64,23,4.8,NW
97,David Gaudu,2023-07-04,Nouvelle-Aquitaine,Landes,181.28,4:25:11,1499,999,9999,999,99,41.0,77.3,Nuages,24,66,25,8.4,W
98,David Gaudu,2023-08-30,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,30.41,1:10:27,655,999,9999,999,99,25.9,56.7,Quelques nuages,21,56,20,6.6,ESE
99,David Gaudu,2023-08-29,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,110.69,3:53:05,2087,999,9999,999,99,28.5,58.2,Nuages,16,72,16,7.7,N
