,Date,Station,PM 2.5
463,2022-01-05,Île-de-France,26.0
464,2022-01-06,Île-de-France,37.0
465,2022-01-07,,54.39114832535885
466,2022-01-08,Île-de-France,40.0
468,2022-01-09,Île-de-France,37.0
469,2022-01-10,Île-de-France,34.0
470,2022-01-11,Île-de-France,76.0
471,2022-01-12,,54.39114832535885
472,2022-01-13,Île-de-France,104.0
474,2022-01-14,,54.39114832535885
475,2022-01-15,Île-de-France,104.0
477,2022-01-16,,54.39114832535885
478,2022-01-17,Île-de-France,87.0
479,2022-01-18,Île-de-France,77.0
480,2022-01-19,Île-de-France,65.0
481,2022-01-20,Île-de-France,68.0
482,2022-01-21,Île-de-France,50.0
484,2022-01-22,,54.39114832535885
485,2022-01-23,Île-de-France,61.0
486,2022-01-24,Île-de-France,65.0
487,2022-01-25,Île-de-France,86.0
489,2022-01-26,,54.39114832535885
490,2022-01-27,Île-de-France,108.0
491,2022-01-28,Île-de-France,93.0
493,2022-01-29,,54.39114832535885
494,2022-01-30,Île-de-France,52.0
495,2022-01-31,Île-de-France,45.0
496,2022-02-01,Île-de-France,38.0
497,2022-02-02,Île-de-France,36.0
498,2022-02-03,Île-de-France,25.0
500,2022-02-04,,54.39114832535885
501,2022-02-05,Île-de-France,41.0
503,2022-02-06,,54.39114832535885
504,2022-02-07,Île-de-France,35.0
505,2022-02-08,Île-de-France,39.0
506,2022-02-09,Île-de-France,73.0
507,2022-02-10,Île-de-France,68.0
509,2022-02-11,,54.39114832535885
510,2022-02-12,Île-de-France,52.0
512,2022-02-13,Île-de-France,66.0
513,2022-02-14,,54.39114832535885
514,2022-02-15,Île-de-France,31.0
515,2022-02-16,Île-de-France,34.0
516,2022-02-17,Île-de-France,19.0
517,2022-02-18,Île-de-France,47.0
518,2022-02-19,Île-de-France,38.0
520,2022-02-20,,54.39114832535885
521,2022-02-21,Île-de-France,36.0
522,2022-02-22,Île-de-France,46.0
524,2022-02-23,Île-de-France,52.0
525,2022-02-24,Île-de-France,54.0
526,2022-02-25,,54.39114832535885
527,2022-02-26,Île-de-France,34.0
528,2022-02-27,Île-de-France,60.0
530,2022-02-28,,54.39114832535885
531,2022-03-01,Île-de-France,62.0
533,2022-03-02,Île-de-France,91.0
534,2022-03-03,Île-de-France,96.0
535,2022-03-04,Île-de-France,109.0
536,2022-03-05,Île-de-France,112.0
537,2022-03-06,,54.39114832535885
538,2022-03-07,Île-de-France,118.0
539,2022-03-08,Île-de-France,90.0
540,2022-03-09,Île-de-France,105.0
542,2022-03-10,,54.39114832535885
543,2022-03-11,Île-de-France,72.0
544,2022-03-12,Île-de-France,52.0
545,2022-03-13,Île-de-France,47.0
547,2022-03-14,,54.39114832535885
548,2022-03-15,Île-de-France,51.0
550,2022-03-16,Île-de-France,58.0
551,2022-03-17,,54.39114832535885
552,2022-03-18,Île-de-France,43.0
553,2022-03-19,Île-de-France,66.0
555,2022-03-20,,54.39114832535885
556,2022-03-21,Île-de-France,61.0
557,2022-03-22,Île-de-France,84.0
558,2022-03-23,Île-de-France,76.0
559,2022-03-24,Île-de-France,86.0
560,2022-03-25,Île-de-France,93.0
562,2022-03-26,,54.39114832535885
563,2022-03-27,Île-de-France,98.0
565,2022-03-28,,54.39114832535885
566,2022-03-29,Île-de-France,105.0
568,2022-03-30,,54.39114832535885
569,2022-03-31,Île-de-France,118.0
570,2022-04-01,Île-de-France,69.0
572,2022-04-02,Île-de-France,39.0
573,2022-04-03,,54.39114832535885
574,2022-04-04,Île-de-France,54.0
576,2022-04-05,,54.39114832535885
577,2022-04-06,Île-de-France,43.0
578,2022-04-07,Île-de-France,36.0
580,2022-04-08,,54.39114832535885
581,2022-04-09,Île-de-France,35.0
582,2022-04-10,Île-de-France,39.0
583,2022-04-11,Île-de-France,63.0
585,2022-04-12,,54.39114832535885
586,2022-04-13,Île-de-France,43.0
588,2022-04-14,,54.39114832535885
589,2022-04-15,Île-de-France,63.0
590,2022-04-16,Île-de-France,57.0
591,2022-04-17,Île-de-France,63.0
593,2022-04-18,,54.39114832535885
594,2022-04-19,Île-de-France,40.0
595,2022-04-20,Île-de-France,46.0
597,2022-04-21,,54.39114832535885
598,2022-04-22,Île-de-France,50.0
599,2022-04-23,Île-de-France,49.0
600,2022-04-24,Île-de-France,60.0
602,2022-04-25,Île-de-France,62.0
603,2022-04-26,Île-de-France,61.0
604,2022-04-27,,54.39114832535885
605,2022-04-28,Île-de-France,63.0
606,2022-04-29,Île-de-France,68.0
608,2022-04-30,,54.39114832535885
609,2022-05-01,Île-de-France,60.0
611,2022-05-02,Île-de-France,56.0
612,2022-05-03,,54.39114832535885
613,2022-05-04,Île-de-France,70.0
614,2022-05-05,Île-de-France,66.0
615,2022-05-06,Île-de-France,48.0
616,2022-05-07,Île-de-France,57.0
618,2022-05-08,,54.39114832535885
619,2022-05-09,Île-de-France,76.0
620,2022-05-10,Île-de-France,64.0
621,2022-05-11,Île-de-France,65.0
622,2022-05-12,Île-de-France,52.0
623,2022-05-13,Île-de-France,41.0
624,2022-05-14,Île-de-France,37.0
625,2022-05-15,Île-de-France,50.0
627,2022-05-16,Île-de-France,54.0
628,2022-05-17,,54.39114832535885
629,2022-05-18,Île-de-France,54.0
630,2022-05-19,Île-de-France,45.0
631,2022-05-20,Île-de-France,60.0
632,2022-05-21,Île-de-France,54.0
634,2022-05-22,Île-de-France,48.0
635,2022-05-23,Île-de-France,51.0
636,2022-05-24,,54.39114832535885
637,2022-05-25,Île-de-France,31.0
638,2022-05-26,Île-de-France,39.0
640,2022-05-27,,54.39114832535885
641,2022-05-28,Île-de-France,33.0
643,2022-05-29,,54.39114832535885
644,2022-05-30,Île-de-France,38.0
645,2022-05-31,Île-de-France,44.0
647,2022-06-01,,54.39114832535885
648,2022-06-02,Île-de-France,46.0
649,2022-06-03,Île-de-France,44.0
650,2022-06-04,Île-de-France,55.0
652,2022-06-05,,54.39114832535885
653,2022-06-06,Île-de-France,46.0
654,2022-06-07,Île-de-France,27.0
655,2022-06-08,Île-de-France,35.0
656,2022-06-09,Île-de-France,35.0
657,2022-06-10,Île-de-France,36.0
659,2022-06-11,,54.39114832535885
660,2022-06-12,Île-de-France,40.0
661,2022-06-13,Île-de-France,34.0
662,2022-06-14,Île-de-France,41.0
663,2022-06-15,Île-de-France,49.0
664,2022-06-16,Île-de-France,57.0
665,2022-06-17,Île-de-France,56.0
666,2022-06-18,Île-de-France,60.0
667,2022-06-19,Île-de-France,71.0
668,2022-06-20,Île-de-France,63.0
669,2022-06-21,Île-de-France,57.0
670,2022-06-22,Île-de-France,57.0
672,2022-06-23,,54.39114832535885
673,2022-06-24,Île-de-France,53.0
674,2022-06-25,Île-de-France,35.0
675,2022-06-26,Île-de-France,36.0
676,2022-06-27,Île-de-France,38.0
677,2022-06-28,Île-de-France,38.0
678,2022-06-29,Île-de-France,38.0
679,2022-06-30,Île-de-France,44.0
680,2022-07-01,Île-de-France,37.0
681,2022-07-02,Île-de-France,31.0
682,2022-07-03,Île-de-France,43.0
683,2022-07-04,Île-de-France,29.0
685,2022-07-05,,54.39114832535885
686,2022-07-06,Île-de-France,36.0
687,2022-07-07,Île-de-France,40.0
688,2022-07-08,Île-de-France,36.0
690,2022-07-09,,54.39114832535885
691,2022-07-10,Île-de-France,47.0
692,2022-07-11,Île-de-France,37.0
693,2022-07-12,Île-de-France,39.0
695,2022-07-13,,54.39114832535885
696,2022-07-14,Île-de-France,59.0
697,2022-07-15,Île-de-France,57.0
698,2022-07-16,Île-de-France,39.0
699,2022-07-17,Île-de-France,52.0
700,2022-07-18,Île-de-France,44.0
701,2022-07-19,Île-de-France,63.0
702,2022-07-20,Île-de-France,78.0
703,2022-07-21,Île-de-France,76.0
704,2022-07-22,Île-de-France,54.0
705,2022-07-23,Île-de-France,64.0
706,2022-07-24,Île-de-France,66.0
707,2022-07-25,Île-de-France,56.0
708,2022-07-26,Île-de-France,43.0
709,2022-07-27,Île-de-France,35.0
711,2022-07-28,,54.39114832535885
712,2022-07-29,Île-de-France,43.0
713,2022-07-30,Île-de-France,51.0
714,2022-07-31,Île-de-France,48.0
715,2022-08-01,Île-de-France,31.0
716,2022-08-02,Île-de-France,33.0
718,2022-08-03,,54.39114832535885
719,2022-08-04,Île-de-France,54.0
720,2022-08-05,Île-de-France,41.0
721,2022-08-06,Île-de-France,41.0
723,2022-08-07,,54.39114832535885
724,2022-08-08,Île-de-France,36.0
725,2022-08-09,Île-de-France,43.0
726,2022-08-10,Île-de-France,48.0
727,2022-08-11,Île-de-France,52.0
728,2022-08-12,Île-de-France,58.0
729,2022-08-13,Île-de-France,59.0
731,2022-08-14,Île-de-France,45.0
732,2022-08-15,,54.39114832535885
733,2022-08-16,Île-de-France,53.0
734,2022-08-17,Île-de-France,62.0
735,2022-08-18,Île-de-France,59.0
736,2022-08-19,Île-de-France,62.0
737,2022-08-20,Île-de-France,40.0
738,2022-08-21,Île-de-France,40.0
739,2022-08-22,Île-de-France,47.0
740,2022-08-23,Île-de-France,40.0
741,2022-08-24,Île-de-France,46.0
742,2022-08-25,Île-de-France,46.0
743,2022-08-26,Île-de-France,54.0
745,2022-08-27,,54.39114832535885
746,2022-08-28,Île-de-France,41.0
747,2022-08-29,Île-de-France,47.0
749,2022-08-30,Île-de-France,47.0
750,2022-08-31,,54.39114832535885
751,2022-09-01,Île-de-France,54.0
752,2022-09-02,Île-de-France,56.0
753,2022-09-03,Île-de-France,56.0
754,2022-09-04,Île-de-France,47.0
756,2022-09-05,,54.39114832535885
757,2022-09-06,Île-de-France,45.0
759,2022-09-07,Île-de-France,46.0
760,2022-09-08,,54.39114832535885
761,2022-09-09,Île-de-France,43.0
763,2022-09-10,,54.39114832535885
764,2022-09-11,Île-de-France,33.0
766,2022-09-12,,54.39114832535885
767,2022-09-13,Île-de-France,49.0
768,2022-09-14,Île-de-France,55.0
769,2022-09-15,Île-de-France,45.0
770,2022-09-16,Île-de-France,42.0
772,2022-09-17,Île-de-France,36.0
773,2022-09-18,,54.39114832535885
774,2022-09-19,Île-de-France,32.0
775,2022-09-20,Île-de-France,36.0
776,2022-09-21,Île-de-France,52.0
777,2022-09-22,Île-de-France,53.0
778,2022-09-23,Île-de-France,54.0
779,2022-09-24,Île-de-France,76.0
780,2022-09-25,Île-de-France,51.0
781,2022-09-26,Île-de-France,35.0
783,2022-09-27,,54.39114832535885
784,2022-09-28,Île-de-France,38.0
786,2022-09-29,,54.39114832535885
787,2022-09-30,Île-de-France,49.0
788,2022-10-01,Île-de-France,66.0
789,2022-10-02,Île-de-France,31.0
791,2022-10-03,Île-de-France,34.0
792,2022-10-04,,54.39114832535885
793,2022-10-05,Île-de-France,70.0
795,2022-10-06,,54.39114832535885
796,2022-10-07,Île-de-France,49.0
797,2022-10-08,Île-de-France,68.0
798,2022-10-09,Île-de-France,48.0
800,2022-10-10,Île-de-France,57.0
801,2022-10-11,Île-de-France,64.0
802,2022-10-12,Île-de-France,53.0
803,2022-10-13,,54.39114832535885
804,2022-10-14,Île-de-France,65.0
805,2022-10-15,Île-de-France,42.0
806,2022-10-16,Île-de-France,38.0
807,2022-10-17,Île-de-France,31.0
808,2022-10-18,Île-de-France,62.0
810,2022-10-19,,54.39114832535885
811,2022-10-20,Île-de-France,53.0
813,2022-10-21,,54.39114832535885
814,2022-10-22,Île-de-France,56.0
815,2022-10-23,Île-de-France,57.0
817,2022-10-24,,54.39114832535885
818,2022-10-25,Île-de-France,42.0
819,2022-10-26,Île-de-France,51.0
820,2022-10-27,Île-de-France,51.0
822,2022-10-28,,54.39114832535885
823,2022-10-29,Île-de-France,72.0
824,2022-10-30,Île-de-France,76.0
826,2022-10-31,Île-de-France,61.0
827,2022-11-01,,54.39114832535885
828,2022-11-02,Île-de-France,46.0
830,2022-11-03,,54.39114832535885
831,2022-11-04,Île-de-France,48.0
832,2022-11-05,Île-de-France,36.0
833,2022-11-06,Île-de-France,57.0
834,2022-11-07,Île-de-France,54.0
836,2022-11-08,,54.39114832535885
837,2022-11-09,Île-de-France,49.0
838,2022-11-10,Île-de-France,41.0
840,2022-11-11,,54.39114832535885
841,2022-11-12,Île-de-France,53.0
843,2022-11-13,,54.39114832535885
