,Date,Station,PM 2.5
1156,2023-10-17,Bourgogne-Franche-Comté,11.0
1157,2023-10-18,Bourgogne-Franche-Comté,17.0
1158,2023-10-19,Bourgogne-Franche-Comté,22.0
1159,2023-10-20,Bourgogne-Franche-Comté,14.0
1160,2023-10-21,Bourgogne-Franche-Comté,3.0
1161,2023-10-22,Bourgogne-Franche-Comté,3.0
1162,2023-10-23,Bourgogne-Franche-Comté,18.0
1163,2023-10-24,Bourgogne-Franche-Comté,15.0
1164,2023-10-25,Bourgogne-Franche-Comté,15.0
1165,2023-10-26,Bourgogne-Franche-Comté,6.0
1166,2023-10-27,Bourgogne-Franche-Comté,10.0
1167,2023-10-28,Bourgogne-Franche-Comté,8.0
1168,2023-10-29,Bourgogne-Franche-Comté,8.0
1169,2023-10-30,Bourgogne-Franche-Comté,16.0
1170,2023-10-31,Bourgogne-Franche-Comté,6.0
1171,2023-11-01,Bourgogne-Franche-Comté,8.0
1172,2023-11-02,Bourgogne-Franche-Comté,8.0
1173,2023-11-03,Bourgogne-Franche-Comté,6.0
1174,2023-11-04,Bourgogne-Franche-Comté,10.0
1175,2023-11-05,Bourgogne-Franche-Comté,10.0
1176,2023-11-06,Bourgogne-Franche-Comté,8.0
1177,2023-11-07,Bourgogne-Franche-Comté,7.0
1178,2023-11-08,Bourgogne-Franche-Comté,18.0
1179,2023-11-09,Bourgogne-Franche-Comté,20.0
1180,2023-11-10,Bourgogne-Franche-Comté,20.0
1181,2023-11-11,Bourgogne-Franche-Comté,8.0
1182,2023-11-12,Bourgogne-Franche-Comté,14.0
1183,2023-11-13,Bourgogne-Franche-Comté,22.0
1184,2023-11-14,Bourgogne-Franche-Comté,9.0
1185,2023-11-15,,27.58744394618834
1186,2023-11-16,Bourgogne-Franche-Comté,15.0
1188,2023-11-17,Bourgogne-Franche-Comté,18.0
1189,2023-11-18,Bourgogne-Franche-Comté,19.0
1190,2023-11-19,Bourgogne-Franche-Comté,32.0
1191,2023-11-20,Bourgogne-Franche-Comté,15.0
1192,2023-11-21,,27.58744394618834
1193,2023-11-22,,27.58744394618834
